ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Whether a worker is assigned to a team,binary,{0,1},0,1
DV1,select_feature_for_sprint,Whether a feature is pulled into the sprint,binary,{0,1},0,1
DV2,schedule_user_story_to_sprint,Sprint number a user story is scheduled to,integer,{1,2,3,4,5,6,7,8,9,10},1,10
DV3,set_task_effort_hours,Planned effort (hours) for a task,integer,ℤ,1,100
DV4,allocate_budget_to_feature,Allocated budget to a feature in currency,real,ℝ≥0,0,100000
DV5,assign_scrum_master_to_team,Whether a Scrum Master supports a team,binary,{0,1},0,1
DV6,prioritize_backlog_item_weight,Relative weight for backlog ordering,integer,ℤ,0,100
DV7,commit_sprint_goal,Whether the sprint goal is committed,binary,{0,1},0,1
DV8,include_user_story_in_sprint_backlog,Whether a user story is in the sprint backlog,binary,{0,1},0,1
DV9,mark_blocker_for_resolution,Whether a blocker is selected for resolution,binary,{0,1},0,1
DV10,choose_release_plan_for_feature,Whether a feature is part of the release plan,binary,{0,1},0,1
DV11,assign_product_owner_to_backlog,Whether a Product Owner manages a backlog,binary,{0,1},0,1
