ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,ensure_project_status.Active,Ensure project status is active,False,,Project,status,2,1.0
C1,ensure_task_status.done,Ensure all tasks are completed,True,,Task,status,2,1.0
C2,keep_velocity_min.MaxRatio,Keep velocity within min-max ratio,False,,Velocity,min_velocity,1,0.5
C3,ensure_feature_status.delivered,Ensure features are delivered,False,,Feature,status,2,1.0
C4,limit_blocker_detection_time,Limit blocker detection time,True,,Blocker,detected_on,1,0.8
C5,ensure_stakeholder_interest.High,Ensure stakeholder interest is high,False,,Stakeholder,relevance_to_feature,2,0.7
C6,ensure_sprint_goal.Achieved,Ensure sprint goals are achieved,False,,SprintGoal,achievement_status,2,1.0
C7,keep_development_snapshot.DocumentationComplete,Keep development snapshot documentation complete,False,,DevelopmentSnapshot,documentation,2,0.6
C8,limit_epic_estimated_effort,Limit epic estimated effort,True,,Epic,estimated_effort,1,0.9
C9,ensure_userstory_acceptance_criteria.Complete,Ensure user story acceptance criteria are complete,False,,UserStory,acceptance_criteria,2,0.8
