ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize team's overall story point completion.,True,"max",Team,team_size,1,1.0
G1,maximize_sprint_goal_achievement,Maximize the number of sprints achieving their goals.,True,"max",Sprint,achievement_of_goal,1,1.0
G2,minimize_blocker_count,Minimize the number of active blockers.,True,"min",Blocker,severity,1,1.0
G3,maximize_feature_documentation_quality,Maximize the quality and completeness of feature documentation.,True,"max",FeatureDocumentation,creation_date,1,1.0
G4,maximize_user_story_story_points,Maximize the total story points completed per sprint.,True,"max",UserStory,story_points,1,0.8
G5,maximize_sprint_velocity,Maximize the velocity of the sprint.,True,"max",Velocity,avg._story_points,1,1.0
G6,maximize_team_availability,Maximize the availability of team members.,True,"max",Worker,availability,1,0.9
G7,maximize_feature_priority,Prioritize features for maximum impact.,True,"max",Feature,priority,1,0.7
G8,maximize_stakeholder_influence,Maximize the influence of key stakeholders.,True,"max",Stakeholder,influence_level,1,0.6
G9,maximize_release_feature_count,Maximize the number of features released.,True,"max",ReleasePlan,included_features,1,0.5
G10,maximize_roadmap_milestones,Maximize the number of milestones achieved in the roadmap.,True,"max",Roadmap,milestones,1,0.4
G11,maximize_epic_priority,Prioritize epics for maximum impact.,True,"max",Epic,priority,1,0.7
G12,maximize_sprint_backlog_tasks,Maximize the number of tasks completed in the sprint backlog.,True,"max",SprintBacklog,number_of_tasks,1,0.9
G13,maximize_sprint_review_attendance,Maximize the attendance at sprint reviews.,True,"max",SprintReview,attendees_count,1,0.5
G14,maximize_sprint_planning_duration,Maximize the duration of sprint planning.,True,"max",SprintPlanning,duration_(min),1,0.6
