ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_product_backlog_size,The size of the product backlog should be maximized.,True,max,ProductBacklog,PB.size,2,1.0
G1,minimize_product_backlog_duration,Minimize the total duration of tasks in the product backlog.,True,min,ProductBacklog,PB.duration,2,1.0
G2,minimize DevelopmentSnapshot version number,Minimize the version number of the latest DevelopmentSnapshot.,True,min,DevelopmentSnapshot,DEV.version_number,2,1.0
G3,maximize_user_story_acceptance_rate,Maximize the percentage of user stories that are accepted.,False,max,UserStory,US.acceptance_rate,2,1.0
G4,minimize_work_in_progress,Minimize the number of tasks in work-in-progress (WIP).,True,min,TSPK,WIP.tasks.count,2,1.0
G5,minimize_task_blocker_impact,Avoid assigning high-severity blockers to tasks.,True,min,Task,blocker_severity.NA.Major,2,1.0
G6,maximize sprint goal achievement,Maximize the percentage of sprint goals that are achieved.,False,max,SprintGoal,sg.achievement_status,2,1.0
G7,minimize sprint backlog size,Minimize the number of tasks in the Sprint Backlog.,True,min,SprintBacklog,SPL.backlog_size,2,1.0
G8,maximize team satisfaction,Maximize overall team satisfaction during sprints.,False,max,TM,tm.satisfaction_score,2,1.0
G9,minimize sprint duration,Minimize the total sprint duration (in minutes).,True,min,TSPK,sprint_duration,2,1.0
