ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Budget Ceiling,Total spend must not exceed budget,max_budget,Project,Min,🔴
C2,Team Capacity,Total allocated story points ≤ team capacity,max_capacity,Team,Max,🟢
C3,Skill Match,Assigned tasks require matching skill levels,require_skill_match,Task / Sub-Task;Skill,Min,🟢
C4,Resource Availability,Ensure required employees are available during sprint,check_availability,Employee,Min,🟢
C5,Sprint Length,Maintain fixed sprint duration of 2 weeks,fix_sprint_length,Sprint,Min,🟢
C6,Deadline Compliance,All critical features must be done before project end,meet_deadline,Feature;Project,Min,🟢
C7,Regulatory Constraints,No features violating compliance rules,ensure_compliance,Feature Documentation,Min,🔴
C8,Maximum Team Size,Team size must be within organizational limit,limit_team_size,Team,Max,🟢
C9,Backlog Size,Product backlog entries must not exceed manageable size,limit_backlog_size,Product Backlog,Max,🟡
C10,Work-in-Progress Limit,Tasks in progress ≤ WIP limit per board,limit_wip,Scrum Board,Max,🟢
C11,Maximum Concurrent Sprints,No more than 3 active sprints per project,limit_concurrent_sprints,Sprint,Max,🟢
