ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Minimize Total Development Time,Reduce the total elapsed time from project start to project end,MinDevTime,Project;Sprint,Min,🟢
G2,Maximize Sprint Velocity,Increase average story points completed per sprint,MaxVelocity,Velocity;Sprint,Max,🟢
G3,Minimize Budget Overrun,Keep actual spending within budget limits,MinBudgetOverrun,Project,Budget,Min,🟢
G4,Maximize Feature Throughput,Increase number of features delivered per release,MaxFeatureThroughput,Release Plan;Sprint,Max,🟡
G5,Maximize Team Utilization,Ensure team members’ capacity is effectively used,MaxUtilization,Team;Employee,Max,🟡
G6,Minimize Defect Rate,Reduce number of blockers/bugs per sprint,MinDefectRate,Blocker / Problem / Bug;Sprint,Min,🟢
G7,Maximize Stakeholder Satisfaction,Increase positive feedback count in sprint reviews,MaxStakeholderSat,Sprint Review;Stakeholder,Max,🟡
G8,Minimize Unplanned Work,Reduce emergency tasks that arise mid-sprint,MinUnplannedWork,Task / Sub-Task;Sprint,Min,🔴
G9,Maximize Backlog Health,Maintain healthy ratio of estimated to completed backlog items,MaxBacklogHealth,Product Backlog,Max,🟡
G10,Minimize Rework Effort,Reduce effort spent on change requests and rework,MinReworkEffort,Feature;Task / Sub-Task,Min,🟢
