ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,sprint_duration,Duration of a sprint in days,Integer,{1,2,3,4},1,4
DV1,team_size,Size of the team,Integer,{1,2,3,4,5,6,7,8,9,10},1,10
DV2,worker_availability,Availability of a worker,Integer,{0,1,2,3,4,5},0,5
DV3,feature_priority,Priority of a feature,Integer,{1,2,3,4,5},1,5
DV4,user_story_priority,Priority of a user story,Integer,{1,2,3,4,5},1,5
DV5,task_effort,Effort required for a task,Integer,{1,2,3,4,5,6,7,8,9,10},1,10
DV6,blocker_severity,Severity of a blocker,Integer,{1,2,3,4,5},1,5
DV7,sprint_goal_achievement,Achievement status of a sprint goal,Boolean,{0,1},0,1
DV8,feature_status,Status of a feature,Integer,{0,1,2,3},0,3
DV9,user_story_status,Status of a user story,Integer,{0,1,2,3},0,3
DV10,task_status,Status of a task,Integer,{0,1,2,3},0,3
DV11,team_satisfaction,Team satisfaction level,Integer,{1,2,3,4,5},1,5
DV12,sprint_review_feedback,Feedback from sprint review,Integer,{1,2,3,4,5},1,5
DV13,development_snapshot_quality,Quality of development snapshot,Integer,{1,2,3,4,5},1,5
DV14,feature_documentation_quality,Quality of feature documentation,Integer,{1,2,3,4,5},1,5
DV15,release_plan_completion,Completion status of release plan,Integer,{0,1,2,3},1.0
G15,maximize_team_size,Increase the size of the team,False,max,Team,team_size,2,1.0
G16,maximize_sprint_goal_achievement,False,max,Sprint,achievement_status,2,1.0
G17,maximize_feature_completion,Increase the completion of features,False,max,Feature,status,2,1.0
G18,maximize_task_completion,Increase the completion of tasks,False,max,Task,status,2,1.0
G19,maximize_sprint_review_feedback,Increase the feedback from sprint reviews,False,max,SprintReview,feedback_documentation,2,1.0
G20,maximize_team_engagement,Increase the engagement of the team,False,max,Team,team_size,2,1.0
G21,maximize_worker_availability,Increase the availability of workers,False,max,Worker,availability,2,1.0
G22,maximize_feature_priority,Increase the priority of features,False,max,Feature,priority,2,1.0
G23,maximize_task_effort,Increase the effort of tasks,False,max,Task,effort,2,1.0
G24,maximize_sprint_goal_achievement,Increase the achievement of sprint goals,False,max,Sprint,achievement_status,2,1.0
G25,maximize_team_engagement,Increase the engagement of the team,False,max,Team,team_size,2,1.0
G26,maximize_worker_availability,Increase the availability of workers,False,max,Worker,availability,2,1.0
G27,maximize_feature_priority,Increase the priority of features,False,max,Feature,priority,2,1.0
G28,maximize_task_effort,Increase the effort of tasks,False,max,Task,effort,2,1.0
G29,maximize_sprint_goal_achievement,Increase the achievement of sprint goals,False,max,Sprint,achievement_status,2,1.0
G0,maximize_team_size,Increase the size of the team,False,max,Team,team_size,2,1.0
G1,maximize the productivity of the team,False,max,Team,team_size,2,1.0
G2,maximize_sprint_goal_achievement,Increase the achievement of sprint goals,False,max,Sprint,achievement_status,2,1.0
G3,maximize_feature_completion_time,Decrease the time taken to complete features,False,min,Feature,status,2,1.0
G4,maximize_task_completion,Increase the completion of tasks,False,max,Task,status,2,1.0
G5,maximize_sprint_review_feedback,Increase the feedback from sprint reviews,False,max,SprintReview,feedback_documentation,2,1.0
G6,maximize_team_engagement,Increase the engagement of the team,False,max,Team,team_size,2,1.0
G7,maximize_worker_availability,Increase the availability of workers,False,max,Worker,availability,2,1.0
G8,maximize_feature_priority,Increase the priority of features,False,max,Feature,priority,2,1.0
G9,maximize_task_effort,Increase the effort of tasks,False,max,Task,effort,2,1.0
G10,maximize_sprint_goal_achievement,Increase the achievement of sprint goals,False,max,Sprint,achievement_status,2,1.0
G11,maximize_team_size,Increase the size of the team,False,max,Team,team_size,2,1.0
G12,maximize_sprint_goal_achievement,Increase the achievement of sprint goals,False,max,Sprint,achievement_status,2,1.0
G13,maximize_task_completion,Increase the completion of tasks,False,max,Task,status,2,1.0
G14,maximize_sprint_goal_achievement,Increase the achievement of sprint goals,False,max,Sprint,achievement_status,2,1.0
G15,maximize_task_effort,Increase the effort of tasks,False,max,Task,effort,2,1.0
G16,maximize_sprint_goal_achievement,Increase the achievement of sprint goals,False,max,Sprint,achievement_status,2,1.0
C1,team_size_condition,Condition based on team size,False,max,Team,team_size,2,1.0
C2,sprint_goal_achievement,Condition based on sprint goal achievement,False,max,Sprint,achievement_status,2,1.0
C3,feature_completion,Condition based on feature completion,False,max,Feature,status,2,1.0
C4,task_completion,Condition based on task completion,False,max,Task,status,2,1.0
C5,sprint_goal_achievement,Condition based on sprint goal achievement,False,max,Sprint,achievement_status,2,1.0
C6,maximize_task_effort,Condition based on task effort,False,max,Task,effort,2,1.0
C7,maximize_sprint_goal_achievement,Condition based on sprint goal achievement,False,max,Sprint,achievement_status,2,1.0
C8,maximize_feature_priority,Condition based on feature priority,False,max,Feature,priority,2,1.0
C9,maximize_task_completion,Condition based on task completion,False,max,Task,status,2,1.0
C10,maximize_sprint_goal_achievement,Condition based on sprint goal achievement,False,max,Sprint,achievement_status,2,1.0
C11,maximize_team_size,Condition based on team size,False,max,Team,team_size,2,1.0
C12,maximize_sprint_goal_achievement,Condition based on sprint goal achievement,False,max,Sprint,achievement_status,2,1.0
C13,maximize_task_effort,Condition based on task effort,False,max,Task,effort,2,1.0
C14,maximize_sprint_goal_achievement,Condition based on sprint goal achievement,False,max,Sprint,achievement_status,2,1.0
C15,maximize_task_completion,Condition based on task completion,False,max,Task,status,2,1.0
