ModelKey,Keyword,Count
qwen3-32b-s1-v1,scrum,11
qwen3-32b-s1-v1,sprint,8
qwen3-32b-s1-v1,product backlog,6
qwen3-32b-s1-v1,stakeholder,6
qwen3-32b-s1-v1,feature,5
mistral-7.2b-s1-v1,scrum,9
mistral-7.2b-s1-v1,user story,7
mistral-7.2b-s1-v1,daily scrum,4
mistral-7.2b-s1-v1,product backlog,4
mistral-7.2b-s1-v1,sprint review,4
phi4-14b-s1-v1,scrum,10
phi4-14b-s1-v1,sprint,6
phi4-14b-s1-v1,stakeholder,6
phi4-14b-s1-v1,feature,5
phi4-14b-s1-v1,user story,5
gemma3-27b-s1-v1,scrum,8
gemma3-27b-s1-v1,sprint,6
gemma3-27b-s1-v1,user story,6
gemma3-27b-s1-v1,feature,4
gemma3-27b-s1-v1,objective function,4
mistral-small3.1-24b-s1-v1,scrum,8
mistral-small3.1-24b-s1-v1,skill,5
mistral-small3.1-24b-s1-v1,product backlog,4
mistral-small3.1-24b-s1-v1,product owner,4
mistral-small3.1-24b-s1-v1,stakeholder,4
phi4-14b-s2-v2,entity,2
phi4-14b-s2-v2,scrum,2
phi4-14b-s2-v2,sprint,2
phi4-14b-s2-v2,sprint review,2
phi4-14b-s2-v2,stakeholder,2
phi4-14b-s2-v1,product backlog,2
phi4-14b-s2-v1,scrum,2
phi4-14b-s2-v1,sprint,2
phi4-14b-s2-v1,stakeholder,2
phi4-14b-s2-v1,user story,2
mistral-small3.2-24b-s1-v1,scrum,8
mistral-small3.2-24b-s1-v1,sprint,6
mistral-small3.2-24b-s1-v1,sprint review,5
mistral-small3.2-24b-s1-v1,stakeholder,5
mistral-small3.2-24b-s1-v1,user story,5
gemma3-27b-s1-v3,scrum,8
gemma3-27b-s1-v3,feature,6
gemma3-27b-s1-v3,skill,5
gemma3-27b-s1-v3,user story,5
gemma3-27b-s1-v3,sprint,4
gemma3-27b-s1-v2,scrum,9
gemma3-27b-s1-v2,sprint,7
gemma3-27b-s1-v2,stakeholder,5
gemma3-27b-s1-v2,user story,5
gemma3-27b-s1-v2,feature,4
qwen3-32b-s1-v7,scrum,8
qwen3-32b-s1-v7,entity,5
qwen3-32b-s1-v7,sprint,5
qwen3-32b-s1-v7,user story,5
qwen3-32b-s1-v7,sprint review,4
qwen3-32b-s1-v6,scrum,8
qwen3-32b-s1-v6,sprint,5
qwen3-32b-s1-v6,stakeholder,5
qwen3-32b-s1-v6,entity,4
qwen3-32b-s1-v6,user story,4
phi4-14b-s2-v9,entity,2
phi4-14b-s2-v9,skill,2
phi4-14b-s2-v9,sprint,2
phi4-14b-s2-v9,stakeholder,2
phi4-14b-s2-v9,user story,2
dolphin3-8b-s1-v1,scrum,11
dolphin3-8b-s1-v1,feature,7
dolphin3-8b-s1-v1,stakeholder,4
dolphin3-8b-s1-v1,sprint,3
dolphin3-8b-s1-v1,user story,3
deepseek-r1-32b-s2-v2,decision variables,2
deepseek-r1-32b-s2-v2,entity,2
deepseek-r1-32b-s2-v2,scrum,2
deepseek-r1-32b-s2-v2,sprint,2
deepseek-r1-32b-s2-v2,sprint review,2
qwen3-32b-s2-v1,product backlog,2
qwen3-32b-s2-v1,scrum,2
qwen3-32b-s2-v1,skill,2
qwen3-32b-s2-v1,sprint,2
qwen3-32b-s2-v1,sprint review,2
qwen3-32b-s1-v5,scrum,8
qwen3-32b-s1-v5,entity,5
qwen3-32b-s1-v5,stakeholder,5
qwen3-32b-s1-v5,product owner,4
qwen3-32b-s1-v5,scrum master,4
deepseek-r1-32b-s2-v1,entity,2
deepseek-r1-32b-s2-v1,must match,2
deepseek-r1-32b-s2-v1,scrum,2
deepseek-r1-32b-s2-v1,sprint,2
deepseek-r1-32b-s2-v1,sprint review,2
phi4-14b-s1-v2,scrum,8
phi4-14b-s1-v2,sprint,5
phi4-14b-s1-v2,entity,4
phi4-14b-s1-v2,product backlog,4
phi4-14b-s1-v2,stakeholder,4
qwen3-32b-s1-v2,scrum,8
qwen3-32b-s1-v2,entity,5
qwen3-32b-s1-v2,sprint,5
qwen3-32b-s1-v2,product backlog,4
qwen3-32b-s1-v2,product owner,4
phi4-14b-s2-v7,entity,2
phi4-14b-s2-v7,scrum,2
phi4-14b-s2-v7,sprint,2
phi4-14b-s2-v7,stakeholder,2
phi4-14b-s2-v7,user story,2
gemma3-1b-s2-v2,entity,2
gemma3-1b-s2-v2,product backlog,2
gemma3-1b-s2-v2,role,2
gemma3-1b-s2-v2,scrum board,2
gemma3-1b-s2-v2,skill,2
deepseek-r1-32b-s1-v1,scrum,8
deepseek-r1-32b-s1-v1,entity,6
deepseek-r1-32b-s1-v1,feedback,5
deepseek-r1-32b-s1-v1,sprint,4
deepseek-r1-32b-s1-v1,stakeholder,4
deepseek-r1-32b-s1-v2,scrum,8
deepseek-r1-32b-s1-v2,product backlog,4
deepseek-r1-32b-s1-v2,sprint,4
deepseek-r1-32b-s1-v2,stakeholder,4
deepseek-r1-32b-s1-v2,user story,4
gemma3-1b-s1-v1,scrum,8
gemma3-1b-s1-v1,role,4
gemma3-1b-s1-v1,sprint,4
gemma3-1b-s1-v1,stakeholder,4
gemma3-1b-s1-v1,user stories,4
gemma3-27b-s1-v5,scrum,8
gemma3-27b-s1-v5,sprint,5
gemma3-27b-s1-v5,entity,4
gemma3-27b-s1-v5,stakeholder,4
gemma3-27b-s1-v5,feature,3
deepseek-r1-32b-s2-v3,decision variables,2
deepseek-r1-32b-s2-v3,entity,2
deepseek-r1-32b-s2-v3,must match,2
deepseek-r1-32b-s2-v3,scrum,2
deepseek-r1-32b-s2-v3,sprint,2
phi4-14b-s2-v3,entity,2
phi4-14b-s2-v3,role,2
phi4-14b-s2-v3,scrum,2
phi4-14b-s2-v3,sprint,2
phi4-14b-s2-v3,stakeholder,2
gemma3-27b-s2-v1,decision variables,2
gemma3-27b-s2-v1,sprint,2
gemma3-27b-s2-v1,sprint review,2
gemma3-27b-s2-v1,stakeholder,2
gemma3-27b-s2-v1,benefit,1
mistral-small3.2-24b-s2-v3,scrum,2
mistral-small3.2-24b-s2-v3,skill,2
mistral-small3.2-24b-s2-v3,sprint,2
mistral-small3.2-24b-s2-v3,story,2
mistral-small3.2-24b-s2-v3,benefit,1
gemma3-27b-s2-v2,skill,2
gemma3-27b-s2-v2,sprint,2
gemma3-27b-s2-v2,stakeholder,2
gemma3-27b-s2-v2,user stories,2
gemma3-27b-s2-v2,benefit,1
mistral-small3.2-24b-s2-v2,entity,2
mistral-small3.2-24b-s2-v2,scrum,2
mistral-small3.2-24b-s2-v2,sprint,2
mistral-small3.2-24b-s2-v2,stakeholder,2
mistral-small3.2-24b-s2-v2,user story,2
gemma3-27b-s2-v7,stakeholder,3
gemma3-27b-s2-v7,benefit,2
gemma3-27b-s2-v7,entity,2
gemma3-27b-s2-v7,sprint,2
gemma3-27b-s2-v7,user story,2
qwen3-32b-s2-v9,decision variables,2
qwen3-32b-s2-v9,must match,2
qwen3-32b-s2-v9,role,2
qwen3-32b-s2-v9,sprint,2
qwen3-32b-s2-v9,sprint review,2
gemma3-27b-s2-v8,sprint,2
gemma3-27b-s2-v8,stakeholder,2
gemma3-27b-s2-v8,user story,2
gemma3-27b-s2-v8,benefit,1
gemma3-27b-s2-v8,decision variables,1
qwen3-32b-s2-v2,role,2
qwen3-32b-s2-v2,sprint,2
qwen3-32b-s2-v2,stakeholder,2
qwen3-32b-s2-v2,user story,2
qwen3-32b-s2-v2,benefit,1
mistral-small3.2-24b-s2-v8,scrum,2
mistral-small3.2-24b-s2-v8,sprint,2
mistral-small3.2-24b-s2-v8,user story,2
mistral-small3.2-24b-s2-v8,benefit,1
mistral-small3.2-24b-s2-v8,feature,1
phi4-14b-s1-v3,scrum,8
phi4-14b-s1-v3,entity,4
phi4-14b-s1-v3,stakeholder,4
phi4-14b-s1-v3,user story,4
phi4-14b-s1-v3,product backlog,3
qwen3-32b-s1-v3,scrum,7
qwen3-32b-s1-v3,entity,4
qwen3-32b-s1-v3,optimization problem,3
qwen3-32b-s1-v3,product backlog,3
qwen3-32b-s1-v3,role,3
gemma3-27b-s2-v6,role,2
gemma3-27b-s2-v6,scrum,2
gemma3-27b-s2-v6,skill,2
gemma3-27b-s2-v6,sprint,2
gemma3-27b-s2-v6,stakeholder,2
mistral-small3.2-24b-s2-v1,scrum,2
mistral-small3.2-24b-s2-v1,skill,2
mistral-small3.2-24b-s2-v1,sprint,2
mistral-small3.2-24b-s2-v1,user story,2
mistral-small3.2-24b-s2-v1,benefit,1
qwen3-32b-s2-v3,product backlog,2
qwen3-32b-s2-v3,sprint,2
qwen3-32b-s2-v3,sprint review,2
qwen3-32b-s2-v3,stakeholder,2
qwen3-32b-s2-v3,user story,2
gemma3-27b-s1-v6,scrum,8
gemma3-27b-s1-v6,sprint,4
gemma3-27b-s1-v6,stakeholder,4
gemma3-27b-s1-v6,user story,4
gemma3-27b-s1-v6,product backlog,3
mistral-small3.2-24b-s1-v7,scrum,8
mistral-small3.2-24b-s1-v7,stakeholder,5
mistral-small3.2-24b-s1-v7,sprint,4
mistral-small3.2-24b-s1-v7,product backlog,3
mistral-small3.2-24b-s1-v7,role,3
phi4-14b-s1-v9,scrum,8
phi4-14b-s1-v9,stakeholder,5
phi4-14b-s1-v9,role,3
phi4-14b-s1-v9,sprint,3
phi4-14b-s1-v9,user story,3
phi4-14b-s1-v4,scrum,8
phi4-14b-s1-v4,entity,3
phi4-14b-s1-v4,feature,3
phi4-14b-s1-v4,product backlog,3
phi4-14b-s1-v4,role,3
mistral-small3.2-24b-s2-v7,scrum,2
mistral-small3.2-24b-s2-v7,sprint,2
mistral-small3.2-24b-s2-v7,user story,2
mistral-small3.2-24b-s2-v7,benefit,1
mistral-small3.2-24b-s2-v7,entity,1
deepseek-r1-32b-s1-v3,scrum,8
deepseek-r1-32b-s1-v3,sprint,5
deepseek-r1-32b-s1-v3,sprint planning,4
deepseek-r1-32b-s1-v3,stakeholder,4
deepseek-r1-32b-s1-v3,product backlog,3
phi4-14b-s2-v8,sprint,2
phi4-14b-s2-v8,stakeholder,2
phi4-14b-s2-v8,benefit,1
phi4-14b-s2-v8,entity,1
phi4-14b-s2-v8,feature,1
gemma3-27b-s1-v4,scrum,8
gemma3-27b-s1-v4,skill,4
gemma3-27b-s1-v4,sprint,4
gemma3-27b-s1-v4,entity,3
gemma3-27b-s1-v4,product backlog,3
dolphin3-8b-s2-v3,role,2
dolphin3-8b-s2-v3,scrum,2
dolphin3-8b-s2-v3,stakeholder,2
dolphin3-8b-s2-v3,user story,2
dolphin3-8b-s2-v3,benefit,1
phi4-14b-s1-v7,scrum,8
phi4-14b-s1-v7,entity,3
phi4-14b-s1-v7,sprint,3
phi4-14b-s1-v7,stakeholder,3
phi4-14b-s1-v7,user story,3
qwen3-32b-s1-v4,scrum,7
qwen3-32b-s1-v4,entity,4
qwen3-32b-s1-v4,sprint,4
qwen3-32b-s1-v4,optimization problem,3
qwen3-32b-s1-v4,product backlog,3
gemma3-27b-s2-v3,stakeholder,2
gemma3-27b-s2-v3,story,2
gemma3-27b-s2-v3,user story,2
gemma3-27b-s2-v3,benefit,1
gemma3-27b-s2-v3,decision variables,1
mistral-small3.2-24b-s2-v6,sprint,2
mistral-small3.2-24b-s2-v6,sprint review,2
mistral-small3.2-24b-s2-v6,user story,2
mistral-small3.2-24b-s2-v6,benefit,1
mistral-small3.2-24b-s2-v6,feature,1
dolphin3-8b-s1-v3,scrum,7
dolphin3-8b-s1-v3,feature,3
dolphin3-8b-s1-v3,role,3
dolphin3-8b-s1-v3,sprint,3
dolphin3-8b-s1-v3,stakeholder,3
qwen3-32b-s2-v8,entity,2
qwen3-32b-s2-v8,scrum,2
qwen3-32b-s2-v8,sprint,2
qwen3-32b-s2-v8,sprint review,2
qwen3-32b-s2-v8,stakeholder,2
phi4-14b-s1-v8,scrum,8
phi4-14b-s1-v8,product backlog,4
phi4-14b-s1-v8,sprint,4
phi4-14b-s1-v8,entity,3
phi4-14b-s1-v8,feedback,3
dolphin3-8b-s2-v8,sprint,2
dolphin3-8b-s2-v8,user story,2
dolphin3-8b-s2-v8,benefit,1
dolphin3-8b-s2-v8,entity,1
dolphin3-8b-s2-v8,feature,1
dolphin3-8b-s2-v2,decision variables,2
dolphin3-8b-s2-v2,sprint,2
dolphin3-8b-s2-v2,benefit,1
dolphin3-8b-s2-v2,feature,1
dolphin3-8b-s2-v2,must match,1
gemma3-27b-s1-v7,scrum,8
gemma3-27b-s1-v7,sprint,4
gemma3-27b-s1-v7,product backlog,3
gemma3-27b-s1-v7,sprint planning,3
gemma3-27b-s1-v7,sprint review,3
dolphin3-8b-s1-v5,scrum,7
dolphin3-8b-s1-v5,stakeholder,4
dolphin3-8b-s1-v5,product owner,3
dolphin3-8b-s1-v5,sprint,3
dolphin3-8b-s1-v5,feature,2
gemma3-27b-s1-v8,scrum,8
gemma3-27b-s1-v8,sprint,5
gemma3-27b-s1-v8,stakeholder,4
gemma3-27b-s1-v8,entity,3
gemma3-27b-s1-v8,feature,3
