ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,team_size,The number of members in a team,Integer,{2,3,4,5,6,7,8,9,10},2,10
D1,story_points_per_sprint,The number of story points completed per sprint,Integer,{1,2,3,4,5,6,7,8,9,10},1,50
D2,blocker_severity,The severity level of a blocker,Integer,{1,2,3,4,5},1,5
D3,feature_priority,The priority assigned to a feature,String,{"High","Medium","Low"},1,3
D4,velocity,The team's average story points per sprint,Float,{0.0,0.1,0.2,0.3},0.0,100.0
D5,sprint_duration,The length of a sprint in days,Integer,{1,2,3},1,4
D6,daily_scrum_duration,The duration of a Daily Scrum in minutes,Integer,{1,2,3,4},1,15
D7,team_availability,Percentage of team members available,Float,{0.0,0.1,0.2},0.0,100.0
D8,product_backlog_size,Number of items in the product backlog,Integer,{1,2,3},1,100
D9,feature_documentation_completeness,Percentage of features that are documented,Float,{0.0,0.1,0.2},0.0,100.0
D10,risk_level,Overall risk associated with the project,String,{"Low","Medium","High"},1,3
D11,stakeholder_influence,The level of influence a stakeholder has,Integer,{1,2,3,4,5},1,5
D12,sprint_goal_achievement_rate,The percentage of sprint goals achieved,Float,{0.0,0.1,0.2},0.0,100.0
D13,release_plan_features,Number of features included in a release plan,Integer,{1,2,3},1,50
D14,budget,The total budget allocated to the project,Float,{0.0,0.1,0.2},1000.0,1000000.0
