Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,"Optimization problem where the objective function and constraints are linear. Very well-studied and efficient solvers exist.",Generally Solvable (often in polynomial time),Resource allocation, supply chain optimization, 100
2,Integer Programming,IP,"LP with the added constraint that some or all variables must be integers. Significantly harder than LP.",NP-hard (can be very difficult to solve),Scheduling, facility location, 75
3,Mixed-Integer Programming,MIP,"Combination of LP and IP - some variables are continuous, some are integer.",NP-hard (often requires heuristics or branch-and-bound),Production planning, network design, 65
4,Nonlinear Programming,NLP,"Optimization problem where either the objective function or at least one constraint is nonlinear.",Generally difficult (local optima are common),Portfolio optimization, chemical engineering design, 50
5,Convex Optimization,"Problems where the objective function and feasible region are convex. Guarantee global optima.",Generally solvable in polynomial time (with specialized solvers),Support Vector Machines, least squares problems, 40
6,Dynamic Programming,DP,"Breaking down a complex problem into smaller, overlapping subproblems, solving each subproblem only once, and storing the solutions to avoid redundant computation.",Generally solvable, but can suffer from the curse of dimensionality,Shortest path, inventory control, 30
7,Combinatorial Optimization,CO,"Finding an optimal object from a finite set of objects. Often involves permutations, combinations, and graphs.",NP-hard (often requires heuristics),Traveling Salesman Problem, knapsack problem, 25
8,Quadratic Programming,QP,"LP with a quadratic objective function. Can be solved efficiently with specialized methods.",Generally solvable, but can be complex,Portfolio Optimization (with variance minimization), 20
9,Stochastic Programming,SP,"Optimization under uncertainty, where some parameters are random variables.",Difficult (often requires scenario-based or robust optimization),Financial modeling, supply chain with uncertain demand, 15
10,Geometric Programming,GP,"Optimization problem involving posynomials (sums of products of variables raised to powers).",Generally solvable via transformation to convex problem,Engineering design, 10
