Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,"Optimizes a linear objective function subject to linear equality and inequality constraints.",Deterministic,"Maximize c^T x subject to Ax = b, x >= 0",10
2,Nonlinear Programming,NLP,"Optimizes a nonlinear objective function subject to nonlinear constraints.",Deterministic,"Minimize f(x) subject to g(x) <= 0, h(x) = 0",9
3,Integer Programming,IP,"Optimizes a linear objective function subject to linear constraints where some variables are required to be integers.",Deterministic,"Maximize c^T x subject to Ax = b, x >= 0, x integer",8
4,Quadratic Programming,QP,"Optimizes a quadratic objective function subject to linear constraints.",Deterministic,"Minimize (1/2)x^T Q x + c^T x subject to Ax = b, x >= 0",7
5,Convex Optimization,CO,"Optimizes a convex objective function subject to convex constraints.",Deterministic,"Minimize f(x) subject to g(x) <= 0, h(x) = 0, where f, g, h are convex",6
6,Mixed-Integer Linear Programming,MILP,"Optimizes a linear objective function subject to linear constraints where some variables are required to be integers and others are continuous.",Deterministic,"Maximize c^T x subject to Ax = b, x >= 0, some x integer",5
7,Mixed-Integer Nonlinear Programming,MINLP,"Optimizes a nonlinear objective function subject to nonlinear constraints where some variables are required to be integers and others are continuous.",Deterministic,"Minimize f(x) subject to g(x) <= 0, h(x) = 0, some x integer",4
8,Dynamic Programming,DP,"Optimizes a problem by breaking it down into simpler subproblems.",Deterministic,"Shortest path problem, Knapsack problem",3
9,Combinatorial Optimization,COMB,"Optimizes a problem that involves finding the best solution from a finite set of possible solutions.",Deterministic,"Traveling Salesman Problem, Graph Coloring Problem",2
10,Multi-Objective Optimization,MOO,"Optimizes multiple conflicting objective functions simultaneously.",Deterministic,"Minimize f1(x), f2(x), ..., fn(x) subject to g(x) <= 0, h(x) = 0",1
