Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
10,Linear Programming,LP,Optimization with linear objective and constraints. Solvability: Yes (Simplex, Interior Point).,Yes,Resource allocation,10
9,Nonlinear Programming,NLP,Optimization with nonlinear objective and constraints. Solvability: Depends on problem structure.,Varies,Portfolio optimization,9
8,Quadratic Programming,QP,Optimization with quadratic objective and linear constraints. Solvability: Yes (Quadratic algorithms).,Yes,Portfolio optimization,8
7,Integer Programming,IP,Optimization with integer variables. Solvability: NP-hard (exact methods).,NP-hard,Scheduling,7
6,Convex Optimization,CO,Optimization with convex objective and constraints. Solvability: Yes (Interior Point Methods).,Yes,Machine learning,6
5,Stochastic Programming,SP,Optimization with random variables. Solvability: Requires scenario analysis.,Varies,Supply chain,5
4,Dynamic Programming,DP,Optimization with recursive decision-making. Solvability: Yes (DP algorithms).,Yes,Inventory management,4
3,Combinatorial Optimization,CO,Optimization with discrete decision variables. Solvability: NP-hard (heuristics).,NP-hard,Traveling Salesman,3
2,Semi-definite Programming,SDP,Optimization with semi-definite constraints. Solvability: Yes (Interior Point Methods).,Yes,Control systems,2
1,Multi-objective Optimization,MOO,Optimization with multiple conflicting objectives. Solvability: Trade-off analysis.,Varies,Environmental planning,1
