ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_team_to_project,Whether a team is assigned to a project,binary,{0,1},0,1
DV1,assign_worker_to_team,Whether a worker is assigned to a team,binary,{0,1},0,1
DV2,select_feature_for_sprint,Whether a feature is selected for the sprint,binary,{0,1},0,1
DV3,select_user_story_for_sprint_backlog,Whether a user story is included in the sprint backlog,binary,{0,1},0,1
DV4,set_task_status_done,Whether a task is marked done within the sprint,binary,{0,1},0,1
DV5,choose_sprint_goal,Whether a specific sprint goal is adopted,binary,{0,1},0,1
DV6,include_feature_in_release,Whether a feature is included in a release plan,binary,{0,1},0,1
DV7,set_blocker_resolved,Whether a blocker is resolved this sprint,binary,{0,1},0,1
DV8,allocate_budget_to_project,Amount of budget allocated to a project,real,[0,+inf),0,100000000
DV9,assign_product_owner_to_backlog,Whether a product owner manages a given backlog,binary,{0,1},0,1
DV10,set_worker_availability_percent,Availability percentage for a worker this sprint,integer,[0,100],0,100
DV11,set_sprint_number,Chosen sprint sequence number,integer,[1,100],1,100
