ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,"A binary variable indicating if a worker `w` is assigned to a task `tsk`.",binary,"{0,1}",0,1
DV1,select_user_story_for_sprint,"A binary variable indicating if a user story `us` is selected for a sprint `sp`.",binary,"{0,1}",0,1
DV2,select_feature_for_release,"A binary variable indicating if a feature `f` is included in a release plan `rep`.",binary,"{0,1}",0,1
DV3,assign_team_to_sprint,"A binary variable indicating if a team `t` is assigned to work on sprint `sp`.",binary,"{0,1}",0,1
DV4,sprint_start_date,"An integer variable representing the start day of a sprint (e.g., day number from project start).",integer,,1,365
DV5,feature_priority_value,"An integer variable to set or adjust the priority level of a feature.",integer,"{1,2,3,4,5}",1,5
DV6,worker_allocation_percentage,"A continuous variable for the percentage of a worker's capacity allocated to a sprint.",continuous,,0,1
DV7,budget_allocated_to_epic,"A continuous variable representing the amount of budget assigned to an epic `e`.",continuous,,0,100000
DV8,task_sequence_order,"An integer variable that determines the order in which tasks are executed within a sprint.",integer,,1,100
DV9,set_sprint_duration,"An integer variable deciding the duration in days for an upcoming sprint.",integer,"{7,14,21,28}",7,28
DV10,choose_worker_for_role,"A binary variable indicating if worker `w` is chosen to perform role `r` in a team.",binary,"{0,1}",0,1
DV11,form_team_with_worker,"A binary variable that decides if a worker `w` is part of a team `t`.",binary,"{0,1}",0,1
