ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Maximize Velocity,Increase average story points completed per sprint,maximize_velocity,Velocity,Max,🟢
G2,Minimize Defect Rate,Reduce number of bugs reported per sprint,minimize_defect_rate,Blocker / Problem / Bug,Min,🟢
G3,Maximize Customer Satisfaction,Improve stakeholder feedback score after each release,maximize_customer_satisfaction,Stakeholder,Max,🟡
G4,Minimize Budget Variance,Keep actual spend within 5% of planned budget,minimize_budget_variance,Project,Min,🟢
G5,Maximize On-time Delivery,Deliver sprint work by planned end date,maximize_on_time_delivery,Sprint,Max,🟢
G6,Minimize Cycle Time,Reduce time from user story creation to completion,minimize_cycle_time,User Story,Min,🟢
G7,Maximize Code Coverage,Increase percentage of code covered by automated tests,maximize_code_coverage,Development Snapshot,Max,🟡
G8,Minimize Technical Debt,Lower count of unresolved technical debt items,minimize_technical_debt,Blocker / Problem / Bug,Min,🟡
G9,Maximize Feature Throughput,Increase number of features released per quarter,maximize_feature_throughput,Feature,Max,🟡
G10,Maximize Team Satisfaction,Improve average team satisfaction rating from retrospectives,maximize_team_satisfaction,Sprint Retrospective,Max,🟡
G11,Minimize Scope Changes,Reduce number of backlog adjustments mid-sprint,minimize_backlog_changes,Sprint Backlog,Min,🟡
