ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G001,Minimize Project Duration,Complete projects in the shortest possible time,MinProjectDuration,Project,Min,🟢
G002,Maximize Feature Coverage,Ensure most required features are implemented,MaxFeatureCoverage,Feature,Max,🟢
G003,Minimize Sprint Goal Failures,Reduce number of missed sprint goals,MinSprintGoalFailures,Sprint Goal,Min,🟢
G004,Maximize Team Satisfaction,Maintain high satisfaction in retrospectives,MaxTeamSatisfaction,Sprint Retrospective,Max,🟡
G005,Maximize Velocity,Improve work throughput per sprint,MaxVelocity,Velocity,Max,🟢
G006,Minimize Task Blockers,Avoid blockers that delay progress,MinTaskBlockers,Task / Sub-Task,Min,🔴
G007,Maximize Competency Match,Assign workers based on needed skills,MaxSkillMatch,Employee,Max,🟢
G008,Minimize Budget Overruns,Stay within planned budget,MinBudgetOverruns,Project,Min,🟢
G009,Maximize Stakeholder Participation,Involve key stakeholders in reviews,MaxStakeholderParticipation,Stakeholder,Max,🟡
G010,Maximize Delivery Predictability,Deliver on time and scope across sprints,MaxDeliveryPredictability,Sprint,Max,🟡
