ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,team_must_have_size_limit,A team should not exceed the maximum size for efficiency.,False,min,Team,team_size,2,1.5
C1,feature_estimated_effort_within_range,Feature estimated effort must be within acceptable limits to ensure feasibility.,True,min,Feature,estimated_effort,2,1.3
C2,sprint_end_date_must_be_achieved,Sprints should meet their end dates as planned for time management.,False,min,Sprint,end_date,2,1.4
C3,no_open_blockers_before_release,There must be no open blockers before a release to ensure smooth deployment.,True,min,Blocker,status,2,1.5
C4,task_completion_within_sprint,All tasks in a sprint backlog should be completed within the sprint duration.,False,min,SprintBacklog,status,2,1.3
C5,user_stories_must_have_criteria,User stories must have clear acceptance criteria for development clarity.,True,min,UserStory,acceptance_criteria,2,1.2
C6,release_plan_status_approved,A release plan must be approved before execution to ensure readiness.,False,min,ReleasePlan,status,2,1.3
C7,product_backlog_must_be_updated,Frequent updates on the product backlog are required for agile responsiveness.,True,min,ProductBacklog,last_updated,2,1.4
C8,sprint_goal_achievement,Achievement of sprint goals must be tracked and met to ensure progress.,False,max,SprintGoal,achievement_status,2,1.5
C9,team_location_consistency,Teams should consistently work from their designated location for stability.,True,min,Team,location,1,1.1
