ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_feature_priority,"Maximize total priority of selected features for next release",True,max,Feature,priority,1,1.0
G1,minimize_feature_estimated_effort,"Minimize estimated effort of selected features",True,min,Feature,estimated_effort,1,1.0
G2,maximize_user_story_points,"Maximize delivered story points across all sprints",True,max,UserStory,story_points,2,1.0
G3,minimize_task_effort,"Minimize total task effort assigned to teams",True,min,Task,effort,1,1.0
G4,minimize_blocker_severity_unresolved,"Minimize severity of unresolved blockers on selected tasks",True,min,Blocker,severity,2,1.5
G5,minimize_project_budget_allocation,"Minimize total budget allocated while meeting goals",True,min,Project,budget,2,1.0
G6,maximize_team_velocity,"Maximize effective velocity used across active sprints",True,max,Velocity,avg._story_points,1,1.0
G7,maximize_sprint_goal_benefit,"Maximize benefits of achieved sprint goals",True,max,SprintGoal,benefit,1,1.2
G8,minimize_sprint_total_effort,"Minimize total effort in active sprint backlogs",True,min,SprintBacklog,total_effort,1,1.0
G9,maximize_stakeholder_attendance,"Maximize stakeholder attendance in sprint reviews",True,max,SprintReview,attendees_count,1,0.5
G10,minimize_number_of_tasks,"Minimize number of tasks in active sprint backlogs (limit WIP)",True,min,SprintBacklog,number_of_tasks,1,0.7
G11,maximize_documented_features,"Maximize linked requirements in feature documentation",True,max,FeatureDocumentation,linked_requirements,1,0.8
G12,minimize_blocker_time_open,"Minimize time blockers remain open via resolution decisions",True,min,Blocker,resolved_on,1,0.6
