ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_project_priority,Maximize the priority of the project,False,max,Project,Priority,2,1.5
G1,minimize_blocker_severity,Minimize the severity of blockers,False,min,Blocker,Severity,2,1.2
G2,maximize_sprint_goal_achievement,Maximize the achievement of sprint goals,False,max,Sprint,achievement_of_goal,2,1.3
G3,minimize_team_size,Minimize the size of the team,False,min,Team,team_size,2,1.0
G4,maximize_velocity,Maximize the average velocity of the team,False,max,Velocity,avg._story_points,2,1.4
G5,minimize_stakeholder_influence,Minimize the influence level of stakeholders,False,min,Stakeholder,influence_level,2,1.1
G6,maximize_feature_priority,Maximize the priority of features,False,max,Feature,priority,2,1.6
G7,minimize_task_effort,Minimize the effort required for tasks,False,min,Task,effort,2,1.7
G8,maximize_sprint_goal_benefit,Maximize the benefit of sprint goals,False,max,SprintGoal,benefit,2,1.8
G9,minimize_sprint_duration,Minimize the duration of sprints,False,min,Sprint,duration_(min),2,1.9
G10,maximize_stakeholder_relevance,Maximize the relevance of stakeholders,False,max,Stakeholder,relevance_to_feature,2,1.5
G11,minimize_blocker_resolution_time,Minimize the time to resolve blockers,False,min,Blocker,resolved_on,2,1.2
G12,maximize_sprint_success,Maximize the success of sprints,False,max,Sprint,status,2,1.3
G13,minimize_team_turnover,Minimize the turnover rate of team members,False,min,Team,team_status,2,1.0
G14,maximize_feature_documentation,Maximize the documentation of features,False,max,FeatureDocumentation,creation_date,2,1.4
G15,minimize_task_overlap,Min,Task,overlap,2,1.5
G16,maximize_sprint_retro_satisfaction,Maximize team satisfaction in retrospectives,False,max,SprintRetrospective,team_satisfaction,2,1.6
G17,minimize_sprint_backlog_effort,Minimize the total effort in sprint backlog,False,min,SprintBacklog,total_effort,2,1.7
G18,maximize_sprint_goal_achievement_status,Maximize the achievement status of sprint goals,False,max,SprintGoal,achievement_status,2,1.8
G19,minimize_sprint_snapshot_test_failure,Minimize test failures in development snapshots,False,min,DevelopmentSnapshot,test_status,2,1.9
