ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_velocity,Maximize team's average story points per sprint,True,max,Velocity,avg._story_points,2,1.0
G1,minimize_blocker_count,Minimize the number of active blockers,False,min,Blocker,status,2,1.5
G2,maximize_feature_completion,Maximize number of completed features per release,True,max,Feature,status,2,1.2
G3,minimize_sprint_overrun,Minimize actual effort exceeding estimated effort,False,min,Task,effort,1,1.0
G4,maximize_worker_utilization,Maximize productive use of available worker time,True,max,Worker,availability,1,0.8
G5,minimize_backlog_churn,Minimize changes to Product Backlog priority during sprint,False,min,ProductBacklog,number_of_entries,0,1.3
G6,maximize_test_coverage,Maximize percentage of tasks with test documentation,False,max,DevelopmentSnapshot,test_status,1,1.0
G7,minimize_sprint_goal_failure,Minimize number of sprints failing to achieve their goal,False,min,SprintGoal,achievement_status,2,1.6
G8,maximize_stakeholder_satisfaction,Maximize stakeholder influence satisfaction from Sprint Reviews,False,max,SprintReview,feedback_documentation,1,1.4
G9,minimize_technical_debt,Minimize accumulation of unresolved technical issues,False,min,Task,status,0,1.2
G10,maximize_documentation_completeness,Maximize linked documentation per feature,True,max,FeatureDocumentation,linked_requirements,1,0.9
