ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,must_have_team,Ensure each project has an assigned team,False,min,Project,id,2,1.0
C1,must_have_scrum_master,Ensure each team has a dedicated Scrum Master,False,min,Team,id,2,1.0
C2,must_have_product_owner,Ensure each project has a Product Owner,False,min,Project,id,2,1.0
C3,must_meet_budget,Ensure project stays within budget,False,min,Project,budget,2,1.0
C4,must_have_valid_status,Ensure feature status is valid (e.g., "Completed"),False,min,Feature,status,2,1.0
C5,must_have_story_points,Ensure user stories have story points assigned,False,min,UserStory,story_points,2,1.0
C6,must_have_task_status,Ensure tasks have a defined status,False,min,Task,status,2,1.0
C7,must_have_valid_priority,Ensure epics have a valid priority,False,min,Epic,priority,2,1.0
C8,must_have_blocker_severity,Ensure blockers have a defined severity,False,min,Blocker,severity,2,1.0
C9,must_have_valid_availability,Ensure workers have a valid availability,False,min,Worker,availability,2,1.0
C10,must_have_valid_role,Ensure workers have a valid role,False,min,Worker,status,2,1.0
C11,must_meet_release_date,Ensure release plan meets planned date,False,min,ReleasePlan,planned_date,2,1.0
C12,must_have_valid_email,Ensure stakeholder has a valid email,False,min,Stakeholder,email,2,1.0
C13,must_have_feature_documentation,Ensure feature has documentation,False,min,FeatureDocumentation,title,2,1.0
C14,must_have_sprint_status,Ensure sprint has status assigned,False,min,Sprint,status,2,1.0
