ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,maximize_velocity,Maximize velocity by optimizing task assignments,EmpLOYEE,Velocity,none,numbers,MayMatch,1.0
C1,minimize_userstoryduration,Minimize user story duration with efficient task allocation,EmpLOYEE,UserStory,Durability,Binary,MustMatch,0.8
C2,maximize_userstorycompletionrate,Maximize user story completion rate through sprint reviews,TechLead,UserStory,CompletionRate,CriteriaType=Must-Match,1.0
C3,minimize_taskblockages,Minimize task blockages with quick resolution,EmpLOYEE,Task,Blocking,Binary,MustMatch,0.7
C4,maximize_userstoryeffort,Maximize user story effort with efficient estimation,EmpLOYEE,UserStory,Effort,CriteriaType=Must-Match,1.0
C5,minimize_projectbacklogsize,Minimize project backlog size through effective task management,EmpLOYEE,ProductBacklog,Size,Binary,MustMatch,0.8
C6,maximize_userstoryprogress,Maximize user story progress with daily stand-ups,TechLead,UserStory,Progress,CriteriaType=Must-Match,1.0
C7,minimize_projectoverrun,Minimize project overrun through timely task management,EmpLOYEE,Project,Size,Binary,MustMatch,0.7
C8,maximize_userstoryefficiency,Maximize user story efficiency with minimal interruptions,TechLead,UserStory,Efficiency,CriteriaType=Must-Match,1.0
C9,minimize_taskdependencies,Minimize task dependencies through independent planning,EmpLOYEE,TaskDependency,Durability,Binary,MustMatch,0.8
