Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Determines the optimal solution to a linear objective function subject to constraints, Generally solvable using simplex algorithm and dual simplex method, Maximize profit for a manufacturer given resource constraints, 10
2,Nonlinear Programming,NLP,Maximizes or minimizes a nonlinear objective function subject to nonlinear constraints, In general, NP-hard, Optimizing the cost function in machine learning using gradient descent, 9
3,Differential Calculus Optimization,DCO,Involves finding the maximum or minimum of a function by applying calculus techniques like derivative test, Newton-Raphson method, and others, Solvable for most functions but depends on their complexity, Finding the lowest point on a parabola, 8
4,Dynamic Programming,DP,Breaks down an optimization problem into smaller subproblems to find the optimal solution recursively, Generally solvable if the Bellman equation holds, Knapsack problem (0/1 knapsack and fractional knapsack), 7
5,Integer Linear Programming,ILP,Similar to linear programming but includes integer variables, NP-hard unless proven otherwise, Maximizing profit for a trucking company with integer vehicle capacities, 6
6,Combinatorial Optimization,CO,Deals with finding the optimal solution from a finite set of items, NP-hard in most cases, Graph coloring problem and Traveling Salesman Problem (TSP), 5
7,Convex Optimization,COV,Focuses on optimization problems that involve convex functions, Generally solvable using duality theory, Convex hull and linear programming duality, 4
8,Global Optimization,GO,Seeks the global optimum rather than a local one, NP-hard, Genetic algorithms for function minimization, 3
9,Evolutionary Algorithm,EA,Population-based search method that mimics biological evolution, Generally used for complex problems with no known analytical solution, Ant colony optimization (ACO) for the TSP, 2
10,Swarm Intelligence,SI,Simulates the behavior of swarms like birds and bees to solve complex optimization problems, Generally used for large-scale problems where other methods fail, Particle Swarm Optimization (PSO) for function minimization, 1
