ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,has_required_skills,Ensure all team members have the required skills,False,min,Worker,skill,2,1.0
C1,project_within_budget,Ensure the project remains within the allocated budget,False,max,Project,budget,2,1.0
C2,team_size_within_limit,Ensure the team size is within the specified limit,False,min,Team,team_size,2,1.0
C3,feature_priority_met,Ensure features are prioritized correctly,False,max,Feature,priority,2,1.0
C4,user_story_completion,Ensure user stories are completed within the sprint,False,max,UserStory,status,2,1.0
C5,blocker_resolution_time,Ensure blockers are resolved within a reasonable time,False,min,Blocker,resolved_on,2,1.0
C6,stakeholder_engagement,Ensure stakeholders are engaged in the development process,False,max,Stakeholder,area_of_interest,2,1.0
C7,documentation_completeness,Ensure all features have complete documentation,False,max,FeatureDocumentation,change_log,2,1.0
C8,sprint_goal_achievement,Ensure sprint goals are achieved,False,max,SprintGoal,achievement_status,2,1.0
C9,employee_availability,Ensure employees are available for their assigned tasks,False,max,Worker,availability,2,1.0
C10,task_effort_within_limit,Ensure task effort is within the estimated limits,False,min,Task,effort,2,1.0
C11,roadmap_milestones_met,Ensure roadmap milestones are met on time,False,max,Roadmap,milestones,2,1.0
C12,release_plan_compliance,Ensure release plans comply with the roadmap,False,max,ReleasePlan,included_features,2,1.0
C13,sprint_review_feedback,Ensure positive feedback is received during sprint reviews,False,max,SprintReview,feedback_documentation,2,1.0
C14,scrum_board_updates,Ensure the scrum board is updated regularly,False,max,ScrumBoard,last_updated,2,1.0
C15,velocity_trend,Ensure the velocity trend is positive,False,max,Velocity,trend,2,1.0
