Keyword,Category,Description,RelevantScrumEntities
"user story",Requirements,"A brief description of a feature from the end-user perspective.",Product Backlog, Sprint Backlog
"epic",Requirements,"A large body of work that can be broken down into smaller user stories.",Product Backlog
"acceptance criteria",Requirements,"Conditions that a user story must meet to be considered complete.",Sprint Backlog, Definition of Done
"functional requirement",Requirements,"A requirement that specifies a function or behavior of the system.",Product Backlog, Sprint Backlog
"non-functional requirement",Requirements,"A requirement that specifies system attributes like performance, security, or usability.",Product Backlog, Sprint Backlog
"technical debt",Requirements,"Existing issues or suboptimal code that needs to be addressed.",Product Backlog, Sprint Backlog
"INVEST",Requirements,"Criteria for writing good user stories (Independent, Negotiable, Valuable, Estimable, Small, Testable).",Product Backlog, Sprint Backlog
"complexity",Complexity,"A measure of how difficult a requirement is to implement.",Sprint Planning, Estimation
"conditional statement",Complexity,"A requirement that includes 'if-then' logic or multiple scenarios.",Sprint Backlog, Estimation
"technical term",Complexity,"A term that indicates specialized knowledge or technology.",Sprint Backlog, Estimation
"sentiment",Complexity,"The emotional tone of a requirement, which can indicate urgency or importance.",Product Backlog, Sprint Backlog
"backlog refinement",Process,"The activity of reviewing and refining backlog items to ensure they are clear and actionable.",Product Backlog, Sprint Backlog
"sprint planning",Process,"The meeting where the team selects items from the product backlog for the upcoming sprint.",Sprint Backlog, Sprint Planning
"estimation",Process,"The activity of estimating the effort required to implement a requirement.",Sprint Planning, Estimation
"prioritization",Process,"The activity of ordering backlog items based on business value or urgency.",Product Backlog, Sprint Planning
