ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,require_project_budget,Project must have defined budget,True,min,Project,budget,2,1.0
C1,enforce_worker_email,All workers must have valid email,True,min,Worker,email,2,1.0
C2,limit_team_size,Ensure team size does not exceed 12,True,max,Team,team_size,2,1.0
C3,require_sprint_goal,Every sprint must have a defined goal,True,min,SprintGoal,objective_description,2,1.0
C4,ensure_task_status,All tasks must have a status,True,min,Task,status,2,1.0
C5,validate_feature_priority,Features must have priority level,True,min,Feature,priority,2,0.9
C6,enforce_user_story_criteria,User stories require acceptance criteria,True,min,UserStory,acceptance_criteria,2,1.0
C7,require_product_owner,Each project must have a product owner,True,min,ProductOwner,name,2,1.2
C8,limit_sprint_duration,Maximum sprint length is 30 days,True,max,Sprint,end_date,2,1.0
C9,ensure_release_status,All release plans must have current status,True,min,ReleasePlan,status,2,0.8
C10,require_skill_certification,Skill must be certified for critical roles,True,min,Skill,certified,2,1.1
C11,enforce_roadmap_dates,Roadmap must have start and end dates,True,min,Roadmap,start_date,2,0.7
C12,require_blocker_resolution,All high-severity blockers must be resolved,True,min,Blocker,resolved_on,2,1.3
C13,ensure_documentation_author,All feature docs must have an author,True,min,FeatureDocumentation,author,2,0.6
