ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_story_points_delivered,Maximize the number of story points delivered per sprint.,True,max,Velocity,avg._story_points,1,1.0
G1,minimize_sprint_backlog_size,Minimize the size of the Sprint Backlog.,True,min,SprintBacklog,number_of_entries,1,1.0
G2,maximize_team_velocity,Maximize the team velocity.,True,max,Velocity,avg._story_points,1,1.0
G3,minimize_sprint_duration,Minimize the sprint duration.,True,min,Sprint,start_date,1,1.0
G4,maximize_feature_completion,Maximize the completion of features.,True,max,Feature,status,1,1.0
G5,minimize_task_duplication,Minimize the duplication of tasks.,True,min,Task,title,1,1.0
G6,maximize_skill_utilization,Maximize the utilization of skills.,True,max,Employee,skill,1,1.0
G7,minimize_blocking_issues,Minimize blocking issues.,True,min,Blocker,severity,1,1.0
G8,maximize_stakeholder_engagement,Maximize stakeholder engagement during sprint review.,True,max,Stakeholder,influence_level,1,1.0
G9,minimize_sprint_retrospective_time,Minimize the time spent in retrospective.,True,min,SprintRetrospective,duration_(min),1,1.0
G10,maximize_team_satisfaction,Maximize team satisfaction during sprint.,True,max,Employee,team_satisfaction,1,1.0
G11,minimize_sprint_goal_missed,Minimize the missed sprint goals.,True,min,SprintGoal,achievement_status,1,1.0
G12,maximize_feature_documentation,Maximize the amount of features with adequate documentation.,True,max,FeatureDocumentation,creation_date,1,1.0
G13,minimize_task_estimation_error,Minimize the error in task estimation.,True,min,Task,effort,1,1.0
G14,maximize_story_point_estimation_accuracy,Maximize the accuracy of the story point estimates.,True,max,UserStory,story_points,1,1.0
G15,minimize_blocker_resolution_time,Minimize the time to resolve blocker issues.,True,min,Blocker,resolved_on,1,1.0
G16,maximize_stakeholder_feedback_quality,Maximize the quality of feedback from stakeholders.,True,max,Stakeholder,relevance_to_feature,1,1.0
