Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming (LP),LP,Minimizing or maximizing a linear objective function subject to constraints expressed as linear equations or inequalities,High,Maximize profit in production planning.,3
2,Quadratic Programming (QP),QP,Minimizing or maximizing a quadratic objective function subject to linear constraints,Medium,Minimize the cost of manufacturing.,4
3,Knapsack Problem,KP,A combinatorial optimization problem where the goal is to maximize the total value of items in a knapsack without exceeding its weight capacity,Low,Maximize the total value of selected items within a given weight limit.,5
4,Dynamic Programming (DP),DP,An algorithmic paradigm that solves complex problems by breaking them down into simpler subproblems and storing their solutions,Medium,Optimize the number of rooks on a chessboard.,6
5,Branch and Bound,BB,A systematic method for solving discrete optimization problems, such as integer programming, by exploring the possible solutions and pruning branches that cannot lead to an optimal solution,Medium,Find the shortest path in a graph with weighted edges.,7
6,Integer Programming (IP),IP,An optimization problem where some or all of the variables are restricted to take on only discrete integer values,Low,Minimize the cost of a manufacturing process subject to resource constraints.,8
7,Nonlinear Optimization,NL-Opt,A class of optimization problems where the objective function is nonlinear and may involve non-differentiable functions as well,Medium,Minimize the energy consumption of a robotic arm in motion planning.,9
8,Stochastic Optimization,ST-Opt,A type of optimization problem involving uncertainty in parameters or constraints, often modeled using probability distributions,Low,Optimize portfolio selection for investment given uncertain market conditions.,10
9,Combinatorial Optimization,CO,An optimization problem where the goal is to find an optimal combinatorial solution, such as a subset of items that maximizes the objective function,Medium,Maximize network flow in a transportation system with limited resources.,11
10,Multi-objective Optimization,MO-Opt,A type of optimization problem where there are multiple conflicting objective functions to be optimized simultaneously,Low,Design an optimal portfolio for investment balancing risk and return.,12
