"ID","Name","Description","IsSum","GoalType","EntityName","EntityAttribute","CriteriaType","Weight"
"C0","project_status_condition","Project status must be active",False,"min","Project","status",2,1.0
"C1","team_size_condition","Team size must be greater than 5",False,"min","Team","team_size",2,0.8
"C2","task_priority_condition","Task priority must be high",True,"max","Task","priority",2,0.9
"C3","feature_status_condition","Feature status must be in progress",False,"min","Feature","status",2,0.7
"C4","blocker_severity_condition","Blocker severity must be critical",True,"min","Blocker","severity",2,0.6
"C5","sprint_velocity_condition","Sprint velocity must be greater than 10",False,"max","Velocity","avg._story_points",2,0.8
"C6","stakeholder_influence_condition","Stakeholder influence must be high",True,"max","Stakeholder","influence_level",2,0.5
"C7","development_snapshot_quality_condition","Development snapshot quality must be good",False,"min","DevelopmentSnapshot","test_status",2,0.8
"C8","product_backlog_entries_condition","Product backlog entries must be greater than 10",False,"max","ProductBacklog","number_of_entries",2,0.6
"C9","sprint_retrospective_improvement_actions_condition","Sprint retrospective improvement actions must be less than 5",False,"min","SprintRetrospective","improvement_actions",2,0.7
"C10","scrum_board_columns_condition","Scrum board columns must be greater than 3",False,"max","ScrumBoard","columns_(todo/done...)",2,0.4
"C11","task_status_condition","Task status must be in progress",True,"min","Task","status",2,0.9
"C12","feature_documentation_quality_condition","Feature documentation quality must be good",False,"max","FeatureDocumentation","description",2,0.8
"C13","project_budget_condition","Project budget must be greater than 10000",False,"min","Project","budget",2,1.0
"C14","team_availability_condition","Team availability must be greater than 80%",False,"max","Team","availability",2,0.8
