ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,valid_team_size,A team must consist of 3 to 9 members according to Scrum guidelines,False,min,Team,team_size,2,1.0
C1,valid_sprint_dates,The start date of a sprint must be before its end date,False,min,Sprint,start_date,2,1.0
C2,po_manages_one_backlog,Each Product Owner is responsible for exactly one Product Backlog,False,max,ProductOwner,id,2,1.0
C3,sprint_has_one_backlog,Each Sprint Backlog must be associated with exactly one Sprint,False,max,SprintBacklog,id,2,1.0
C4,team_assigned_to_project,Every active team must be assigned to at least one project,False,max,Team,id,2,1.0
C5,task_status_domain,The status of a task must be one of {todo, in_progress, done},False,min,Task,status,2,1.0
C6,worker_availability_constraint,A worker cannot be allocated for more than their available capacity,False,min,Worker,availability,2,1.0
C7,sprint_duration_limit,A sprint's duration should not exceed 4 weeks (28 days),False,min,Sprint,end_date,2,1.0
C8,daily_scrum_duration,The Daily Scrum meeting is time-boxed to 15 minutes,False,min,DailyScrum,duration,2,1.0
C9,user_story_has_points,Every user story selected for a sprint must have story points assigned,False,max,UserStory,story_points,2,1.0
C10,project_budget_limit,The total cost must not exceed the project's allocated budget,False,min,Project,budget,2,1.0
C11,sprint_has_goal,Every sprint must have a defined Sprint Goal,False,max,Sprint,id,2,1.0
C12,worker_has_one_team,Each worker can only belong to one team at a time,False,max,Worker,id,2,1.0
