StrategyKey,Model,Strategy,Chats,TP,FP,FN,Precision,Recall,F1
chat-gpt-4.1,chat-gpt,4.1,63,0,0,0,0.0,0.0,0.0
chat-gpt-4.1-mini,chat-gpt,4.1-mini,63,0,0,0,0.0,0.0,0.0
chat-gpt-4o,chat-gpt,4o,63,0,0,0,0.0,0.0,0.0
chat-gpt-4o-mini,chat-gpt,4o-mini,63,0,0,0,0.0,0.0,0.0
chat-gpt-4o-mini-high,chat-gpt,4o-mini-high,63,0,0,0,0.0,0.0,0.0
chat-gpt-s2,chat-gpt,s2,24,39,1050,33801,0.03581267217630854,0.001152482269503546,0.002233101434338229
chat-gpt-strategy0,chat-gpt,strategy0,13,15,393,24425,0.03676470588235294,0.0006137479541734861,0.001207340631036703
chat-gpt-strategy1,chat-gpt,strategy1,13,51,1302,54939,0.037694013303769404,0.0009274413529732679,0.001810340237474043
chat-gpt-strategy2,chat-gpt,strategy2,13,39,1050,18291,0.03581267217630854,0.002127659574468085,0.004016684690251815
deepseek-r1-latest,deepseek-r1,latest,6,0,0,0,0.0,0.0,0.0
deepseek-r1-32b-s1,deepseek-r1-32b,s1,3,201,6835,12489,0.02856736782262649,0.015839243498817965,0.020379194971104127
deepseek-r1-32b-s2,deepseek-r1-32b,s2,3,77,2773,4153,0.027017543859649124,0.018203309692671393,0.02175141242937853
deepseek-r1-32b-s3,deepseek-r1-32b,s3,3,0,0,0,0.0,0.0,0.0
deepseek-r1-8b-s1,deepseek-r1-8b,s1,3,133,26956,12557,0.004909741961681863,0.010480693459416863,0.006686945373186857
deepseek-r1-8b-s2,deepseek-r1-8b,s2,3,40,4355,4190,0.009101251422070534,0.009456264775413711,0.009275362318840578
deepseek-r1-8b-s3,deepseek-r1-8b,s3,3,0,0,0,0.0,0.0,0.0
dolphin3-8b-s1,dolphin3-8b,s1,8,337,8175,33503,0.03959116541353384,0.009958628841607566,0.015914242538723082
dolphin3-8b-s2,dolphin3-8b,s2,8,99,3324,11181,0.028921998247151623,0.008776595744680852,0.013466639461334423
dolphin3-8b-s3,dolphin3-8b,s3,3,0,0,0,0.0,0.0,0.0
gemini-s2,gemini,s2,24,39,1050,33801,0.03581267217630854,0.001152482269503546,0.002233101434338229
gemini-strategy0,gemini,strategy0,13,15,393,24425,0.03676470588235294,0.0006137479541734861,0.001207340631036703
gemini-strategy1,gemini,strategy1,13,51,1302,54939,0.037694013303769404,0.0009274413529732679,0.001810340237474043
gemini-strategy2,gemini,strategy2,13,39,1050,18291,0.03581267217630854,0.002127659574468085,0.004016684690251815
gemma3-latest,gemma3,latest,6,0,0,0,0.0,0.0,0.0
gemma3-1b-s1,gemma3-1b,s1,2,112,3362,8348,0.03223949337938975,0.013238770685579196,0.018769901122842297
gemma3-1b-s2,gemma3-1b,s2,2,41,1680,2779,0.023823358512492735,0.014539007092198582,0.01805769654261176
gemma3-1b-s3,gemma3-1b,s3,2,0,0,0,0.0,0.0,0.0
gemma3-27b-s1,gemma3-27b,s1,9,551,16233,37519,0.03282888465204957,0.014473338586813765,0.020089692638640754
gemma3-27b-s2,gemma3-27b,s2,8,134,4890,11146,0.026671974522292995,0.011879432624113475,0.01643768400392542
gemma3-27b-s3,gemma3-27b,s3,3,0,0,0,0.0,0.0,0.0
llama3.3-latest,llama3.3,latest,6,0,0,0,0.0,0.0,0.0
meta-ai-s2,meta-ai,s2,24,39,1050,33801,0.03581267217630854,0.001152482269503546,0.002233101434338229
meta-ai-strategy0,meta-ai,strategy0,13,15,393,24425,0.03676470588235294,0.0006137479541734861,0.001207340631036703
meta-ai-strategy1,meta-ai,strategy1,13,51,1302,54939,0.037694013303769404,0.0009274413529732679,0.001810340237474043
meta-ai-strategy2,meta-ai,strategy2,13,39,1050,18291,0.03581267217630854,0.002127659574468085,0.004016684690251815
mistral-latest,mistral,latest,9,0,0,0,0.0,0.0,0.0
mistral-s2,mistral,s2,24,39,1050,33801,0.03581267217630854,0.001152482269503546,0.002233101434338229
mistral-strategy0,mistral,strategy0,13,15,393,24425,0.03676470588235294,0.0006137479541734861,0.001207340631036703
mistral-strategy1,mistral,strategy1,13,51,1302,54939,0.037694013303769404,0.0009274413529732679,0.001810340237474043
mistral-strategy2,mistral,strategy2,13,39,1050,18291,0.03581267217630854,0.002127659574468085,0.004016684690251815
mistral-7.2b-s1,mistral-7.2b,s1,1,81,1020,4149,0.07356948228882834,0.019148936170212766,0.030388294879009566
mistral-7.2b-s2,mistral-7.2b,s2,5,39,1065,7011,0.035326086956521736,0.005531914893617021,0.009565857247976452
mistral-small3.1-latest,mistral-small3.1,latest,6,0,0,0,0.0,0.0,0.0
mistral-small3.1-24b-s1,mistral-small3.1-24b,s1,1,70,1420,4160,0.04697986577181208,0.016548463356973995,0.02447552447552448
mistral-small3.1-24b-s2,mistral-small3.1-24b,s2,5,39,1065,7011,0.035326086956521736,0.005531914893617021,0.009565857247976452
mistral-small3.2-24b-s1,mistral-small3.2-24b,s1,7,335,8352,29275,0.03856337055370093,0.011313745356298548,0.017494842938089148
mistral-small3.2-24b-s2,mistral-small3.2-24b,s2,8,120,3793,11160,0.030667007411193457,0.010638297872340425,0.015796748502599878
mistral-small3.2-24b-s3,mistral-small3.2-24b,s3,3,0,0,0,0.0,0.0,0.0
ms-copilot-s2,ms-copilot,s2,24,39,1050,33801,0.03581267217630854,0.001152482269503546,0.002233101434338229
ms-copilot-strategy0,ms-copilot,strategy0,13,15,393,24425,0.03676470588235294,0.0006137479541734861,0.001207340631036703
ms-copilot-strategy1,ms-copilot,strategy1,13,51,1302,54939,0.037694013303769404,0.0009274413529732679,0.001810340237474043
ms-copilot-strategy2,ms-copilot,strategy2,13,39,1050,18291,0.03581267217630854,0.002127659574468085,0.004016684690251815
phi4-14b-s1,phi4-14b,s1,7,407,10193,29203,0.03839622641509434,0.013745356298547787,0.020243720467545388
phi4-14b-s2,phi4-14b,s2,8,137,3849,11143,0.034370296036126444,0.012145390070921986,0.01794838202541596
phi4-14b-s3,phi4-14b,s3,3,0,0,0,0.0,0.0,0.0
qwen-s2,qwen,s2,24,39,1050,33801,0.03581267217630854,0.001152482269503546,0.002233101434338229
qwen-strategy0,qwen,strategy0,13,15,393,24425,0.03676470588235294,0.0006137479541734861,0.001207340631036703
qwen-strategy1,qwen,strategy1,13,51,1302,54939,0.037694013303769404,0.0009274413529732679,0.001810340237474043
qwen-strategy2,qwen,strategy2,13,39,1050,18291,0.03581267217630854,0.002127659574468085,0.004016684690251815
qwen3-latest,qwen3,latest,6,0,0,0,0.0,0.0,0.0
qwen3-32b-s1,qwen3-32b,s1,7,531,16495,29079,0.031187595442264772,0.017933130699088147,0.022772107384852903
qwen3-32b-s2,qwen3-32b,s2,8,145,6415,11135,0.022103658536585365,0.012854609929078014,0.01625560538116592
qwen3-32b-s3,qwen3-32b,s3,3,0,0,0,0.0,0.0,0.0
