Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimization of a linear objective function subject to linear equality/inequality constraints.,Polynomial-time (simplex method, interior-point methods),Maximize profit given resource constraints.,10
2,Integer Programming,IP,Optimization where some or all variables are restricted to be integers.,NP-Hard (in general),Knapsack problem,9
3,Mixed-Integer Programming,MIP,Optimization with both continuous and integer variables.,NP-Hard (in general),Production planning with discrete and continuous decisions.,8
4,Nonlinear Programming,NLP,Optimization of a nonlinear objective function subject to nonlinear constraints.,Varies (depends on problem structure),Portfolio optimization with risk-return tradeoff.,7
5,Quadratic Programming,QP,Optimization of a quadratic objective function subject to linear constraints.,Polynomial-time (convex case),Portfolio optimization with mean-variance model.,6
6,Convex Optimization,CO,Optimization where the objective and constraints are convex.,Efficient (global optimum guaranteed),Support vector machines in machine learning.,5
7,Dynamic Programming,DP,Optimization of multistage decision problems by breaking them into simpler subproblems.,Varies (depends on problem structure),Inventory management over time.,4
8,Combinatorial Optimization,CO,Optimization over a discrete solution space.,NP-Hard (in general),Traveling salesman problem.,3
9,Stochastic Programming,SP,Optimization under uncertainty where some parameters are random variables.,Varies (depends on problem structure),Energy production planning with uncertain demand.,2
10,Multi-Objective Optimization,MOO,Optimization of multiple conflicting objectives.,Varies (Pareto front exploration),Design of a car with conflicting goals (e.g., fuel efficiency vs. performance).,1
