ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize average velocity of teams,False,max,Velocity,avg._story_points,2,1.0
G1,minimize_blocker_severity,Minimize severity of blockers,False,min,Blocker,severity,2,0.8
G2,maximize_sprint_goal_achievement,Maximize achievement of sprint goals,False,max,SprintGoal,achievement_status,2,1.2
G3,minimize_task_effort,Minimize effort required for tasks,False,min,Task,effort,2,0.9
G4,maximize_feature_priority,Maximize priority of features,False,max,Feature,priority,2,1.1
G5,minimize_sprint_retrospective_improvement_actions,Minimize number of improvement actions,False,min,SprintRetrospective,improvement_actions,2,0.7
G6,maximize_product_owner_availability,Maximize availability of product owners,False,max,ProductOwner,availability,2,1.0
G7,minimize_development_snapshot_test_status,Minimize test status issues,False,min,DevelopmentSnapshot,test_status,2,0.9
G8,maximize_stakeholder_influence_level,Maximize influence level of stakeholders,False,max,Stakeholder,influence_level,2,1.1
G9,minimize_sprint_backlog_total_effort,Minimize total effort of sprint backlogs,False,min,SprintBacklog,total_effort,2,0.8
G10,maximize_scrum_master_experience,Maximize experience of scrum masters,False,max,ScrumMaster,experience,2,1.2
G11,minimize_task_blockers,Minimize number of blockers for tasks,False,min,Task,status,1,0.9
G12,maximize_feature_documentation_quality,Maximize quality of feature documentation,False,max,FeatureDocumentation,description,2,1.0
G13,minimize_sprint_review_feedback,Minimize feedback issues in sprint reviews,False,min,SprintReview,feedback_documentation,2,0.8
G14,maximize_team_satisfaction,Maximize team satisfaction,False,max,SprintRetrospective,team_satisfaction,2,1.1
