Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,"Optimization problem where the objective function and constraints are linear.",Efficient,"Resource allocation, production planning." ,10
2,Integer Programming,IP,"LP with the added constraint that some or all variables must be integers.",Difficult,"Scheduling, facility location." ,9
3,Mixed-Integer Programming,MIP,"Combination of LP and IP, allowing both continuous and integer variables.",Difficult,"Supply chain optimization, network design." ,8
4,Convex Optimization,"","Optimization where the objective function is convex and the feasible region is a convex set.",Efficient,"Portfolio optimization, machine learning model training." ,7
5,Nonlinear Programming,NLP,"Optimization with nonlinear objective function or constraints.",Difficult,"Chemical process control, engineering design." ,6
6,Dynamic Programming,DP,"Solving complex problems by breaking them down into simpler subproblems.",Efficient (for well-structured problems),"Shortest path, sequence alignment." ,5
7,Constraint Programming,CP,"Solving problems by specifying variables and constraints.",Difficult,"Scheduling, resource allocation, puzzle solving." ,4
8,Network Optimization,"","Optimization problems on graphs, such as shortest path, minimum spanning tree, and maximum flow.",Efficient,"Transportation, communication networks." ,3
9,Stochastic Programming,"","Optimization under uncertainty, where some parameters are random variables.",Difficult,"Financial modeling, inventory control." ,2
10,Combinatorial Optimization,"","Finding the best solution from a finite set of possibilities, often involving permutations or combinations.",Difficult,"Traveling salesperson problem, knapsack problem." ,1
