ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C01,Must Assign Teams to Projects,Every team must be assigned to at least one project,mustAssignTeamToProject,Team; Project,Min,🟢
C02,Employees Must Have Skills,Each employee must have at least one skill,mustHaveSkill,Employee; Skill,Min,🟢
C03,Roles Assigned per Employee,Employees must have assigned roles,mustAssignRole,Employee; Role(s),Min,🟢
C04,Scrum Master per Team,Each team must be supported by exactly one Scrum Master,mustHaveScrumMaster,Team; Scrum Master,Min,🟢
C05,Sprint Backlog Must Belong to Sprint,Every sprint backlog is assigned to a sprint,mustBelongSprint,Sprint Backlog; Sprint,Min,🟢
C06,Feature Status Restrictions,Features cannot be in ‘Cancelled’ status,cannotFeatureCancelled,Feature,Min,🔴
C07,Max Task Effort per Sprint,Total effort for tasks must not exceed sprint capacity,maxTaskEffort,Task / Sub-Task; Sprint,Max,🟢
C08,Blocker Severity Limit,Blockers with severity above a threshold are not allowed,cannotHighSeverityBlocker,Blocker / Problem / Bug,Min,🔴
C09,Product Backlog Status,Product Backlog must be ‘Active’,mustActiveBacklog,Product Backlog,Min,🟢
C10,Task Status Allowed Values,Tasks must be in {ToDo, In Progress, Done} statuses,mustAllowedTaskStatus,Task / Sub-Task,Min,🟢
