ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize the average velocity of the team,True,max,Velocity,avg._story_points,2,1.0
G1,maximize_sprint_goal_achievement,Maximize the number of sprint goals achieved,True,max,SprintGoal,achievement_status,2,1.5
G2,minimize_blocker_severity,Minimize the severity of all blockers,False,min,Blocker,severity,2,1.2
G3,maximize_feature_completion,Maximize the number of completed features,True,max,Feature,status,2,1.0
G4,maximize_stakeholder_satisfaction,Maximize the satisfaction of stakeholders,True,max,Stakeholder,relevance_to_feature,2,1.3
G5,minimize_sprint_backlog_effort,Minimize the total effort in the sprint backlog,True,min,SprintBacklog,total_effort,2,1.0
G6,maximize_team_satisfaction,Maximize the team satisfaction from retrospectives,True,max,SprintRetrospective,team_satisfaction,2,1.1
G7,maximize_user_story_completion,Maximize the number of completed user stories,True,max,UserStory,status,2,1.0
G8,minimize_project_budget_overrun,Minimize the budget overrun of projects,False,min,Project,budget,2,1.4
G9,maximize_skill_level,Maximize the average skill level of workers,True,max,Skill,level,2,1.0
G10,maximize_release_plan_completion,Maximize the number of completed release plans,True,max,ReleasePlan,status,2,1.2
