ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_completed_user_stories,Maximize the number of completed user stories,False,max,SprintBacklog,number_of_tasks,2,1.5
G1,minimize_total_effort,Minimize total effort spent on tasks,False,min,SprintBacklog,total_effort,2,1.0
G2,maximize_feature_priorities,Maximize priority level of implemented features,False,max,Feature,priority,2,1.0
G3,maximize_team_velocity,Maximize team velocity over sprints,False,max,Velocity,avg._story_points,2,1.5
G4,minimize_blocker_severity,Minimize severity level of blockers,False,min,Blocker,severity,2,1.0
G5,maximize_sprint_goal_achievement,Maximize achievement status of sprint goals,False,max,SprintGoal,achievement_status,2,1.5
G6,maximize_epic_priorities,Maximize priority level of implemented epics,False,max,Epic,priority,2,1.0
G7,minimize_task_duration,Minimize duration of tasks,False,min,Task,effort,2,1.0
G8,maximize_stakeholder_feedback,Maximize number of stakeholders providing feedback,False,max,SprintReview,attendees_count,2,1.5
G9,maximize_sprint_retrospective_improvements,Maximize number of improvements identified,False,max,SprintRetrospective,number_of_improvement_actions,2,1.0
