ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV01,Sprint Duration,Length of a sprint in days,sprintDuration,Sprint,Integer,7,30
DV02,Task Effort Estimate,Estimated effort hours for a task,taskEffortEstimate,Task / Sub-Task,Float,0.5,40
DV03,Team Size,Number of members in a team,teamSize,Team,Integer,3,15
DV04,Story Points per Sprint,Total story points planned per sprint,sprintStoryPoints,Sprint,Integer,5,50
DV05,Skill Level,Level of a skill an employee has,skillLevel,Skill,Integer,1,5
DV06,Blocker Severity,Severity rating of a blocker,blockerSeverity,Blocker / Problem / Bug,Integer,1,10
DV07,Availability Percentage,Percentage availability of a team member,availabilityPercent,Employee,Float,0,100
DV08,Number of Features per Release,Number of features included in a release,featuresPerRelease,Release Plan,Integer,1,20
DV09,Number of Sprints Used,Number of sprints used to calculate velocity,numberOfSprintsUsed,Velocity,Integer,1,10
DV10,Task Completion Status,Binary status of task completion (0=not done,1=done),taskCompletionStatus,Task / Sub-Task,Binary,0,1
