ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Binary assignment of workers to teams,bool,{0,1},0,1
DV1,select_user_story_for_sprint,Binary selection of user stories for sprint,bool,{0,1},0,1
DV2,estimate_task_effort,Estimated effort for a task,integer,"[1,40]",1,40
DV3,set_sprint_duration,Duration of a sprint in days,integer,"[5,30]",5,30
DV4,allocate_budget_to_project,Budget allocated to a project,float,"[0,1000000]",0,1000000
DV5,schedule_sprint_start_date,Planned start date of a sprint,date,"[2024-01-01,2026-12-31]",2024-01-01,2026-12-31
DV6,define_task_status,Status of a task during sprint,string,"{todo,in_progress,blocked,done}",,,
DV7,plan_release_version,Version number for release,string,"{v1.0,v1.1,v2.0,v2.1,v3.0}",,,
DV8,set_worker_availability,Weekly availability of worker in hours,float,"[0,40]",0,40
DV9,choose_documentation_format,Format type for feature documentation,string,"{markdown,pdf,confluence}",,,
DV10,moderate_retrospective_assignment,Assignment of Scrum Master to moderate,string,"{assigned,pending}",,,
DV11,update_product_backlog_order,Order index of item in backlog,integer,"[0,1000]",0,1000
DV12,trigger_development_snapshot,Whether a snapshot is generated after sprint,bool,{0,1},0,1
DV13,set_epic_priority,Priority level for an epic,string,"{low,medium,high,critical}",,,
