ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,team_size_condition,Condition based on team size,False,min,Team,team_size,2,1.0
C1,sprint_velocity_condition,Condition based on sprint velocity,False,max,Velocity,avg._story_points,2,1.0
C2,blocker_severity_condition,Condition based on blocker severity,False,min,Blocker,severity,2,1.0
C3,feature_status_condition,Condition based on feature status,False,max,Feature,status,2,1.0
C4,user_story_status_condition,Condition based on user story status,False,max,UserStory,status,2,1.0
C5,task_status_condition,Condition based on task status,False,max,Task,status,2,1.0
C6,team_satisfaction_condition,Condition based on team satisfaction,False,max,SprintRetrospective,team_satisfaction,2,1.0
C7,sprint_goal_achievement_condition,Condition based on sprint goal achievement,False,max,Sprint,SprintGoal,achievement_status,2,1.0
C8,product_owner_availability_condition,Condition based on product owner availability,False,max,ProductOwner,availability,2,1.0
C9,scrum_master_availability_condition,Condition based on scrum master availability,False,max,ScrumMaster,availability,2,1.0
C10,worker_availability_condition,Condition based on worker availability,False,max,Worker,availability,2,1.0
C11,sprint_review_feedback_condition,Condition based on sprint review feedback,False,max,SprintReview,feedback_documentation,2,1.0
C12,development_snapshot_quality_condition,Condition based on development snapshot quality,False,max,DevelopmentSnapshot,test_status,2,1.0
C13,feature_documentation_quality_condition,Condition based on feature documentation quality,False,max,FeatureDocumentation,change_log,2,1.0
C14,release_plan_completion_condition,Condition based on release plan completion,False,max,ReleasePlan,status,2,1.0
