ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Maximize Project Delivery Speed,Deliver project increments as quickly as possible,MaxProjectDeliverySpeed,Project;Sprint,Max,🟢
G2,Minimize Task Blockers,Reduce the number and impact of blockers during the sprint,MinTaskBlockers,Task / Sub-Task;Blocker,Min,🟢
G3,Maximize Team Velocity,Achieve the highest average story points per sprint,MaxTeamVelocity,Velocity;Team,Max,🟢
G4,Minimize Sprint Overrun,Keep sprint duration within planned limits,MinSprintOverrun,Sprint,Min,🟢
G5,Maximize Feature Completion,Complete as many high-priority features as possible per sprint,MaxFeatureCompletion,Feature;Sprint Backlog,Max,🟢
G6,Maximize Skill Utilization,Ensure employees’ skills are effectively used in assigned tasks,MaxSkillUtilization,Employee;Skill,Max,🟡
G7,Minimize Budget Overrun,Keep project budget usage within planned limits,MinBudgetOverrun,Project,Min,🟢
G8,Maximize Stakeholder Satisfaction,Ensure high stakeholder participation and positive feedback in sprint reviews,MaxStakeholderSatisfaction,Stakeholder;Sprint Review,Max,🟡
G9,Minimize Task Rework,Reduce the amount of work that needs to be redone due to defects or blockers,MinTaskRework,Task / Sub-Task,Min,🟢
G10,Maximize Team Satisfaction,Improve team morale and satisfaction as reported in retrospectives,MaxTeamSatisfaction,Sprint Retrospective;Team,Max,🟡
