ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV1,Sprint Length (days),Length of the sprint in days,SprintLength,Sprint,Integer,7,28
DV2,Number of Developers,Count of developers per team,DevCount,Team,Integer,3,9
DV3,Budget Allocation (EUR),Funds allocated to project budget,BudgetAlloc,Project,Float,10000,1000000
DV4,Story Points per Sprint,Total story point capacity per sprint,CapacityPoints,Sprint,Integer,20,100
DV5,Max Concurrent Tasks,Maximum tasks a developer works on concurrently,ConcurrentTasks,Worker / Employee,Integer,1,5
DV6,Test Environments,Number of test environments available,TestEnvs,Development Snapshot,Integer,1,5
DV7,Meeting Duration (min),Standard meeting length in minutes,MeetingLength,Daily Scrum,Integer,15,60
DV8,Backlog Refinement Frequency,Number of refinement sessions per sprint,RefineSessions,Product Backlog,Integer,1,4
DV9,Release Frequency,Number of releases per year,Releases,Release Plan,Integer,1,12
DV10,Documentation Update Interval,Days between documentation reviews,DocInterval,Feature Documentation,Integer,7,90
