ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Budget Constraint,Ensure total project cost does not exceed budget,budget_constraint,Project,Min,🟢
C2,Sprint Duration Limit,Enforce sprint length between 1 and 4 weeks,sprint_duration_limit,Sprint,Max,🟢
C3,Team Capacity Constraint,Assigned story points per sprint must not exceed capacity,capacity_constraint,Team;Sprint,Max,🟢
C4,Priority Requirement,All high-priority features must be planned for release,priority_requirement,Feature;Release Plan,Max,🟢
C5,Developer Availability,Assign tasks only to available employees,availability_constraint,Task / Sub-Task;Worker / Employee,Min,🟢
C6,Sprint Overlap Avoidance,Prevent a team from being in overlapping sprints,sprint_overlap,Sprint;Team,Min,🟢
C7,Dependency Constraint,User stories must respect epic-story dependencies,dependency_constraint,User Story;Epic,Min,🟢
C8,Blocker Resolution Time,Blockers must be resolved within 2 days,blocker_resolution_time,Blocker / Problem / Bug,Min,🟢
C9,Backlog Grooming Frequency,Product Backlog updated at least once weekly,backlog_frequency,Product Backlog,Min,🟢
C10,Release Date Adherence,Actual release dates must match planned dates,release_date_adherence,Release Plan,Min,🟢
C11,Stakeholder Engagement,Collect stakeholder feedback each sprint review,stakeholder_engagement,Stakeholder;Sprint Review,Max,🟡
