Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,"Optimization where the objective function and constraints are linear.",Often Polynomial (P),Resource allocation, 10
2,Integer Programming,IP,"LP with the added constraint that some or all variables must be integers.",Often NP-hard,Scheduling, 9
3,Nonlinear Programming,NLP,"Optimization where the objective function or constraints are nonlinear.",Often NP-hard,Portfolio optimization, 8
4,Convex Optimization,CO,"Optimization where the objective function is convex and the feasible region is convex.",Often Polynomial (P),Support Vector Machines, 7
5,Dynamic Programming,DP,"Breaking down a complex problem into smaller overlapping subproblems.",Often Polynomial (P),Shortest path algorithms, 6
6,Combinatorial Optimization,CO,"Finding an optimal object from a finite set of objects. Often discrete.",Often NP-hard,Traveling Salesman Problem, 6
7,Network Optimization,NO,"Optimization problems formulated on graphs or networks.",Often Polynomial (P),Traffic flow, 5
8,Stochastic Optimization,SO,"Optimization under uncertainty; deals with random variables.",Often NP-hard,Financial modeling, 4
9,Multi-objective Optimization,MOO,"Optimizing multiple conflicting objective functions.",Often NP-hard,Engineering design, 3
10,Global Optimization,GO,"Finding the global optimum in a non-convex problem.",Often NP-hard,Molecular docking, 2
11,Geometric Programming,GP,"Optimization with posynomial objective function and constraints.",Often Polynomial (P),Engineering design, 1
12,Quadratic Programming,QP,"Optimization with a quadratic objective function and linear constraints.",Often Polynomial (P),Portfolio Optimization, 1
