Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
10,Linear Programming,LP,Optimizes a linear objective function subject to linear equality/inequality constraints,Polytime (Simplex, Interior Point),Resource allocation,10
9,Nonlinear Programming,NLP,Optimizes nonlinear objective/constraints,Can be NP-hard (depends on structure),Portfolio optimization,9
8,Integer Programming,IP,Variables constrained to integer values,NP-hard,Scheduling problems,8
7,Quadratic Programming,QP,Optimizes a quadratic objective with linear constraints,Polytime (Interior Point),Portfolio optimization,7
6,Convex Optimization,Convex,Optimizes convex objective/constraints,Polytime (Interior Point),Support vector machines,6
5,Dynamic Programming,DP,Breaks problems into overlapping subproblems,Polytime (for specific structures),Knapsack problem,5
4,Stochastic Programming,Stochastic,Optimizes under uncertainty with random variables,NP-hard (approximate methods),Supply chain planning,4
3,Combinatorial Optimization,CO,Optimizes over discrete structures,NP-hard,Traveling Salesman Problem,3
2,Semi-Definite Programming,SDP,Optimizes linear objectives over semi-definite cones,Polytime (Interior Point),Control theory,2
1,Multi-Objective Optimization,MOO,Balances multiple conflicting objectives,NP-hard (approximate methods),Engineering design trade-offs,1
